design,scenario_id,run_id,method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_non_ok_rate,terminal_jobs,terminal_throughput_rps
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobResult,75,75,1.25,9.204,14.455,15.068,0.0,84,1.4
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,CancelJob,30,30,0.5,7.16,11.745,11.761,0.0,84,1.4
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,84,1.4
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,SubmitJob,105,105,1.75,10.309,14.971,19.011,0.0,85,1.416667
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobStatus,90,90,1.5,8.32,11.823,14.62,0.0,85,1.416667
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,GetJobResult,75,75,1.25,9.841,14.829,15.883,0.0,85,1.416667
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,CancelJob,30,30,0.5,7.277,12.339,12.938,0.0,85,1.416667
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r01-f2ed1e830a,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,85,1.416667
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,SubmitJob,105,105,1.75,11.05,17.101,27.828,0.0,86,1.433333
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobStatus,90,90,1.5,7.817,13.599,27.469,0.0,86,1.433333
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,GetJobResult,75,75,1.25,10.251,16.551,25.473,0.0,86,1.433333
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,CancelJob,30,30,0.5,7.633,12.1,16.212,0.0,86,1.433333
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r02-5acef9a854,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,86,1.433333
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r00-361c7f38eb,SubmitJob,45,45,0.75,8.886,11.074,13.084,0.0,51,0.85
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r00-361c7f38eb,GetJobStatus,135,135,2.25,7.375,10.056,11.282,0.0,51,0.85
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r00-361c7f38eb,GetJobResult,105,105,1.75,8.327,11.012,11.961,0.0,51,0.85
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r00-361c7f38eb,CancelJob,15,15,0.25,6.372,8.482,8.482,0.0,51,0.85
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r00-361c7f38eb,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,51,0.85
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r01-85c50c1cfc,SubmitJob,45,45,0.75,7.893,23.17,46.637,0.0,52,0.866667
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r01-85c50c1cfc,GetJobStatus,135,135,2.25,6.305,13.903,15.126,0.0,52,0.866667
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r01-85c50c1cfc,GetJobResult,105,105,1.75,8.055,23.742,48.239,0.0,52,0.866667
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r01-85c50c1cfc,CancelJob,15,15,0.25,6.334,39.566,39.566,0.0,52,0.866667
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r01-85c50c1cfc,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,52,0.866667
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r02-9daa754422,SubmitJob,45,45,0.75,11.169,23.439,60.802,0.0,52,0.866667
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r02-9daa754422,GetJobStatus,135,135,2.25,8.453,16.969,50.887,0.0,52,0.866667
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r02-9daa754422,GetJobResult,105,105,1.75,11.566,18.712,24.304,0.0,52,0.866667
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r02-9daa754422,CancelJob,15,15,0.25,8.827,16.69,16.69,0.0,52,0.866667
A_microservices,design_a_s_low_poll_heavy,design_a_s_low_poll_heavy-r02-9daa754422,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,52,0.866667
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r00-2697bc274b,SubmitJob,180,180,3.0,8.678,13.594,18.777,0.0,83,1.383333
A_microservices,design_a_s_low_submit_heavy,design_a_s_low_submit_heavy-r00-2697bc274b,GetJobStatus,60,60,1.0,7.553,10.625,18.779,0.0,83,1.383333
